ds,DATE,HOUR,yhat,VOLUME,уровнемер
2023-08-27 00:00:00,2023-08-27,0,1247.1535741099856,11106,9858.846425890015
2023-08-27 01:00:00,2023-08-27,1,925.4227001756642,11106,8933.42372571435
2023-08-27 02:00:00,2023-08-27,2,641.6156216236724,11106,8291.808104090678
2023-08-27 03:00:00,2023-08-27,3,409.7192569022916,11106,7882.088847188386
2023-08-27 04:00:00,2023-08-27,4,228.8351211192628,11106,7653.253726069123
2023-08-27 05:00:00,2023-08-27,5,131.46168526730185,11106,7521.792040801822
2023-08-27 06:00:00,2023-08-27,6,181.05824274546126,11106,7340.733798056361
2023-08-27 07:00:00,2023-08-27,7,409.61974713862685,11106,6931.114050917734
2023-08-27 08:00:00,2023-08-27,8,756.7122136538813,11106,6174.401837263853
2023-08-27 09:00:00,2023-08-27,9,1081.6935941336922,11106,5092.708243130161
2023-08-27 10:00:00,2023-08-27,10,1254.804273726357,11106,3837.903969403804
2023-08-27 11:00:00,2023-08-27,11,1253.1269209924692,11106,2584.7770484113353
2023-08-27 12:00:00,2023-08-27,12,1174.4049350863597,11106,1410.3721133249746
2023-08-27 13:00:00,2023-08-27,13,1152.6232023111183,11106,257.74891101385583
2023-08-27 14:00:00,2023-08-27,14,1248.7014259614452,11106,-990.9525149475885
2023-08-27 15:00:00,2023-08-27,15,1412.045878875309,11106,-2402.998393822898
2023-08-27 16:00:00,2023-08-27,16,1541.9496229417707,11106,-3944.948016764669
2023-08-27 17:00:00,2023-08-27,17,1585.5491716632205,11106,-5530.497188427889
2023-08-27 18:00:00,2023-08-27,18,1578.9898365266658,11106,-7109.487024954557
2023-08-27 19:00:00,2023-08-27,19,1597.4226045134974,11106,-8706.909629468053
2023-08-27 20:00:00,2023-08-27,20,1668.2475568050468,11106,-10375.1571862731
2023-08-27 21:00:00,2023-08-27,21,1734.4704756378264,11106,-12109.627661910927
2023-08-27 22:00:00,2023-08-27,22,1702.3027805435163,11106,-13811.930442454443
2023-08-27 23:00:00,2023-08-27,23,1524.103648775916,11106,-15336.034091230358
2023-08-28 00:00:00,2023-08-28,0,1236.7288033500242,13952,12715.271196649976
2023-08-28 01:00:00,2023-08-28,1,924.1339823491828,13952,11791.137214300794
2023-08-28 02:00:00,2023-08-28,2,649.2629142874149,13952,11141.874300013378
2023-08-28 03:00:00,2023-08-28,3,426.0230399100084,13952,10715.851260103369
2023-08-28 04:00:00,2023-08-28,4,253.44059126253262,13952,10462.410668840837
2023-08-28 05:00:00,2023-08-28,5,163.94375163724249,13952,10298.466917203594
2023-08-28 06:00:00,2023-08-28,6,220.92725782172454,13952,10077.53965938187
2023-08-28 07:00:00,2023-08-28,7,456.3278999214965,13952,9621.211759460373
2023-08-28 08:00:00,2023-08-28,8,809.6605037455984,13952,8811.551255714774
2023-08-28 09:00:00,2023-08-28,9,1140.2392992154073,13952,7671.311956499368
2023-08-28 10:00:00,2023-08-28,10,1318.2688170240344,13952,6353.043139475333
2023-08-28 11:00:00,2023-08-28,11,1320.8040418316994,13952,5032.2390976436345
2023-08-28 12:00:00,2023-08-28,12,1245.569061788468,13952,3786.670035855166
2023-08-28 13:00:00,2023-08-28,13,1226.537925458454,13952,2560.132110396713
2023-08-28 14:00:00,2023-08-28,14,1324.627969199484,13952,1235.5041411972288
2023-08-28 15:00:00,2023-08-28,15,1489.2514654038446,13952,-253.7473242066153
2023-08-28 16:00:00,2023-08-28,16,1619.7156376205517,13952,-1873.4629618271665
2023-08-28 17:00:00,2023-08-28,17,1663.1790220423084,13952,-3536.6419838694746
2023-08-28 18:00:00,2023-08-28,18,1655.8164204955237,13952,-5192.458404364999
2023-08-28 19:00:00,2023-08-28,19,1672.8152977243647,13952,-6865.2737020893655
2023-08-28 20:00:00,2023-08-28,20,1741.6186397034155,13952,-8606.89234179278
2023-08-28 21:00:00,2023-08-28,21,1805.2809273845492,13952,-10412.173269177329
2023-08-28 22:00:00,2023-08-28,22,1770.067375699372,13952,-12182.2406448767
2023-08-28 23:00:00,2023-08-28,23,1588.3953015509665,13952,-13770.635946427665
